id,title,subtitle,metadata
1144,Agile Software Development Needs to Die (And Everyone Knows It),Agile thinking leads to “meta work”,{'title': 'Agile Software Development Needs to Die (And Everyone Knows\xa0It) Agile thinking leads to “meta\xa0work”'}
1145,A Step-By-Step ChatGPT Guide to Build The Perfect Newsletter For Your Audience,Own your audience and…,{'title': 'A Step-By-Step ChatGPT Guide to Build The Perfect Newsletter For Your\xa0Audience Own your audience\xa0and…'}
1146,Get Ready to be Wowed — ChatGPT’s New Plugins Will Blow Your Mind,Introducing ChatGPT’s unbeatable new…,{'title': 'Get Ready to be Wowed\u200a—\u200aChatGPT’s New Plugins Will Blow Your\xa0Mind Introducing ChatGPT’s unbeatable new…'}
1147,Stop Reading Mindfriggin’ Success Stories. They Silently Prevent You From Reaching Your Goals,,{'title': 'Stop Reading Mindfriggin’ Success Stories. They Silently Prevent You From Reaching Your\xa0Goals nan'}
1148,Lensa Paved the Way for a Graveyard of AI Art Apps — and They’re Already Too Late,If Lensa prompted…,{'title': 'Lensa Paved the Way for a Graveyard of AI Art Apps\u200a—\u200aand They’re Already Too\xa0Late If Lensa prompted…'}
1149,"<strong class=""markup--strong markup--h3-strong"">3 Career Lessons I’ve Learned at 39 That I Ignored as a Graduate at 25</strong>",Life experience is underrated…,"{'title': '<strong class=""markup--strong markup--h3-strong"">3 Career Lessons I’ve Learned at 39 That I Ignored as a Graduate at\xa025</strong> Life experience is underrated…'}"
1150,These 4 Concepts Changed My Whole Perspective On Writing,If you want to be consistent with your…,{'title': 'These 4 Concepts Changed My Whole Perspective On\xa0Writing If you want to be consistent with\xa0your…'}
1151,Rhythm and Flow in Prose,"Using length, structure, and rule-bending to…","{'title': 'Rhythm and Flow in\xa0Prose Using length, structure, and rule-bending to…'}"
1152,Read This if You Ever Wrote a “X Things That Y” Piece,"Because the writing was stolen from you, and now…","{'title': 'Read This if You Ever Wrote a “X Things That Y”\xa0Piece Because the writing was stolen from you, and\xa0now…'}"
1153,Secrets To Hosting A Meaningful Writing Retreat Without Losing Your Mind,After years of hosting…,{'title': 'Secrets To Hosting A Meaningful Writing Retreat Without Losing Your\xa0Mind After years of\xa0hosting…'}
1154,Write Now With F.T. Lukens,"Today’s Write Now interview features F.T. Lukens, New York Times…","{'title': 'Write Now With F.T.\xa0Lukens Today’s Write Now interview features F.T. Lukens, New York\xa0Times…'}"
1155,Stable Diffusion as an API: Make a Person-Removing Microservice,Remove people from photos with a…,{'title': 'Stable Diffusion as an API: Make a Person-Removing Microservice Remove people from photos with\xa0a…'}
1156,"Back To Basics, Part Dos: Gradient Descent",An accessible perspective on essential machine learning…,"{'title': 'Back To Basics, Part Dos: Gradient\xa0Descent An accessible perspective on essential machine learning…'}"
1157,Mastering Containerization: A Guide to Creating Docker-Like Environments without Docker,,{'title': 'Mastering Containerization: A Guide to Creating Docker-Like Environments without\xa0Docker nan'}
1158,"Datasets to Train, Validate, and Evaluate Machine Translation","Select, check, and split","{'title': 'Datasets to Train, Validate, and Evaluate Machine Translation Select, check, and\xa0split'}"
1159,How to Set Up a Simple ETL Pipeline with AWS Lambda for Data Science,How to setup a simple ETL…,{'title': 'How to Set Up a Simple ETL Pipeline with AWS Lambda for Data\xa0Science How to setup a simple\xa0ETL…'}
1160,Elliot Activation Function: What Is It and Is It Effective?,What is the Elliot Activation Function and…,{'title': 'Elliot Activation Function: What Is It and Is It Effective? What is the Elliot Activation Function\xa0and…'}
1161,Building Blocks of Causal Inference — A DAGgy Approach Using Lego,An Introduction to Causal Inference…,{'title': 'Building Blocks of Causal Inference\u200a—\u200aA DAGgy Approach Using\xa0Lego An Introduction to Causal Inference…'}
1162,The users Netflix forgot about,Netflix’s new password sharing policies seem to only consider a few use…,{'title': 'The users Netflix forgot\xa0about Netflix’s new password sharing policies seem to only consider a few\xa0use…'}
1163,How does our cultural background influence product design?,,{'title': 'How does our cultural background influence product\xa0design? nan'}
1164,UX people will soon have to collaborate with new professions,A future outlook of how the stakeholder…,{'title': 'UX people will soon have to collaborate with new professions A future outlook of how the stakeholder…'}
1165,The UX of value perception,Practical examples of creating more value through the components of the…,{'title': 'The UX of value perception Practical examples of creating more value through the components of\xa0the…'}
1166,"<strong class=""markup--strong markup--h3-strong"">An open conversation with George Stiny about calculating and design</strong>",Why visual ambiguity is one of the greatest tools for design,"{'title': '<strong class=""markup--strong markup--h3-strong"">An open conversation with George Stiny about calculating and\xa0design</strong> Why visual ambiguity is one of the greatest tools for\xa0design'}"
1167,"To Make Enough Money to Retire Early, Stop Doing These 7 Things",What Harvard research bizarrely shows…,"{'title': 'To Make Enough Money to Retire Early, Stop Doing These 7\xa0Things What Harvard research bizarrely shows…'}"
1168,How I Write 2 Articles Most Mornings Before Work (With Little Effort),The secret to producing a lot of…,{'title': 'How I Write 2 Articles Most Mornings Before Work (With Little\xa0Effort) The secret to producing a lot\xa0of…'}
1169,"ChatGPT Won’t Make you Rich, and You Need to Stop this Pointless Promotion",The hard truth behind all…,"{'title': 'ChatGPT Won’t Make you Rich, and You Need to Stop this Pointless Promotion The hard truth behind\xa0all…'}"
1170,22 Mental Models to Help You Improve the Way You Think and Act,Understand these concepts to become…,{'title': '22 Mental Models to Help You Improve the Way You Think and\xa0Act Understand these concepts to\xa0become…'}
1171,7 Ways to Fall Back in Love With Writing,The process can be a love/hate relationship.,{'title': '7 Ways to Fall Back in Love With\xa0Writing The process can be a love/hate relationship.'}
1172,Kindle Vella December Bonus Update: What I Learned From a Full Year of Writing for Vella,,{'title': 'Kindle Vella December Bonus Update: What I Learned From a Full Year of Writing for\xa0Vella nan'}
1173,How to Create an Irresistible Internal Conflict for your Protagonist,6 Questions to Ask Yourself,{'title': 'How to Create an Irresistible Internal Conflict for your Protagonist 6 Questions to Ask\xa0Yourself'}
1174,These 5 Practices Will Help You Start Writing After Months of Quitting,The exact steps I followed to…,{'title': 'These 5 Practices Will Help You Start Writing After Months of\xa0Quitting The exact steps I followed\xa0to…'}
1175,I’m Terrified to Start a Patreon Because it Will Force Me to Finish,Would you like a renaissance…,{'title': 'I’m Terrified to Start a Patreon Because it Will Force Me to\xa0Finish Would you like a renaissance…'}
1176,5 Signs You've Become an Advanced Pythonista Without Even Realizing It,Time to take credit,"{'title': ""5 Signs You've Become an Advanced Pythonista Without Even Realizing It Time to take\xa0credit""}"
1177,Intro to PyTorch 2: Convolutional Neural Networks,,{'title': 'Intro to PyTorch 2: Convolutional Neural\xa0Networks nan'}
1178,"Learning from Machine Learning | Maarten Grootendorst: BERTopic, Data Science, Psychology",,"{'title': 'Learning from Machine Learning | Maarten Grootendorst: BERTopic, Data Science, Psychology nan'}"
1179,How to use FILTER in DAX the correct way,"<em class=""markup--em markup--h4-em"">The FILTER() function in DAX can be challenging to tame. You</em>","{'title': 'How to use FILTER in DAX the correct\xa0way <em class=""markup--em markup--h4-em"">The FILTER() function in DAX can be challenging to tame.\xa0You</em>'}"
1180,AutoML — Let Machine Learning Give Your Model Selection a Jump-Start,Leveraging AutoML to increase…,{'title': 'AutoML\u200a—\u200aLet Machine Learning Give Your Model Selection a Jump-Start Leveraging AutoML to increase…'}
1181,D-Tale for Fast and Easy Exploratory Data Analysis of Well Log Data,Speeding Up The Exploratory Data…,{'title': 'D-Tale for Fast and Easy Exploratory Data Analysis of Well Log\xa0Data Speeding Up The Exploratory Data…'}
1182,Simulated Annealing With Restart,A variation on the classic Simulated Annealing optimisation algorithm…,{'title': 'Simulated Annealing With\xa0Restart A variation on the classic Simulated Annealing optimisation algorithm…'}
1183,Bad machine learning models can still be well-calibrated,,{'title': 'Bad machine learning models can still be well-calibrated nan'}
1184,Why all of Hollywood UI looks the same,"Is the future a blue, transparent hologram? Why is this our…","{'title': 'Why all of Hollywood UI looks the\xa0same Is the future a blue, transparent hologram? Why is this\xa0our…'}"
1185,Say goodbye to “dummy text” and start using real content,Why designers should ditch Lorem Ipsum and…,{'title': 'Say goodbye to “dummy text” and start using real\xa0content Why designers should ditch Lorem Ipsum\xa0and…'}
1186,Design system breakdown: select,Part 3 of a deep dive series on specific design system components,{'title': 'Design system breakdown: select Part 3 of a deep dive series on specific design system components'}
1187,"AI is coming for UX, breaking up with clients, advanced Figma prototyping",Weekly curated resources for…,"{'title': 'AI is coming for UX, breaking up with clients, advanced Figma prototyping Weekly curated resources for…'}"
1188,The rebirth of Office,Evolving the Office brand for a new world of collaboration,{'title': 'The rebirth of\xa0Office Evolving the Office brand for a new world of collaboration'}
1189,Can Beginners Make Money on Fiverr?,Is Fiverr good for beginners?,{'title': 'Can Beginners Make Money on\xa0Fiverr? Is Fiverr good for beginners?'}
1190,Only One Group of Creators Should Be Afraid Of ChatGPT,And what to do if you consider ChatGPT your…,{'title': 'Only One Group of Creators Should Be Afraid Of\xa0ChatGPT And what to do if you consider ChatGPT\xa0your…'}
1191,I've Made 5 Mistakes While Growing My Site — Here They Are,"I've made them, but you don't have to.","{'title': ""I've Made 5 Mistakes While Growing My Site\u200a—\u200aHere They\xa0Are I've made them, but you don't have\xa0to.""}"
1192,"9 Things I’ve Learned Since Working From Anywhere, Anytime",The digital nomad life isn’t what I…,"{'title': '9 Things I’ve Learned Since Working From Anywhere, Anytime The digital nomad life isn’t what\xa0I…'}"
